"E_Co","N_Co","E_Co","N_Co","E_Co","N_Co","E_Co","N_Co","E_Co","N_Co","E_Na","N_Na","E_Na","N_Na","E_Na","N_Na","E_Na","N_Na","E_Na","N_Na","E_Am","N_Am","E_Am","N_Am","E_Am","N_Am","E_Am","N_Am","E_Am","N_Am","E_Mix","N_Mix","E_Mix","N_Mix","E_Mix","N_Mix","E_Mix","N_Mix","E_Mix","N_Mix","E_Sr","N_Sr","E_Sr","N_Sr","E_Sr","N_Sr","E_Sr","N_Sr","E_Sr","N_Sr"
"316.5","1627","316.7","3243","302.8","4977","315.9","6526","316","8139","316.5","1589","316.7","3103","302.8","4997","315.9","6460","316","8073","316.5","1529","316.7","3219","302.8","4884","315.9","6153","316","7905","316.5","2424","316.7","4861","302.8","7318","315.9","9659","316","12236","316.5","1614","316.7","3165","302.8","5051","315.9","6528","316","8244"
"328.6","1537","328.8","3163","314.4","4869","328","6121","328.09","7755","328.6","1502","328.8","3090","314.4","4748","328","6277","328.09","7459","328.6","1505","328.8","2899","314.4","4699","328","5893","328.09","7462","328.6","2311","328.8","4806","314.4","6996","328","9457","328.09","11818","328.6","1561","328.8","3163","314.4","4712","328","6322","328.09","7745"
"340.7","1493","340.9","3055","326","4744","340.1","5896","340.17","7558","340.7","1419","340.9","2926","326","4581","340.1","6047","340.17","7425","340.7","1425","340.9","2908","326","4468","340.1","5818","340.17","7228","340.7","2340","340.9","4520","326","6802","340.1","9239","340.17","11435","340.7","1453","340.9","3078","326","4731","340.1","6011","340.17","7542"
"352.8","1487","353","2906","337.6","4528","352.2","5970","352.26","7450","352.8","1471","353","2927","337.6","4463","352.2","5735","352.26","7203","352.8","1449","353","2859","337.6","4351","352.2","5622","352.26","6779","352.8","2314","353","4632","337.6","6891","352.2","9070","352.26","11337","352.8","1466","353","2912","337.6","4591","352.2","5803","352.26","7454"
"365","1411","365.1","2766","349.2","4373","364.3","5671","364.35","6857","365","1364","365.1","2737","349.2","4177","364.3","5572","364.35","6778","365","1339","365.1","2743","349.2","4058","364.3","5355","364.35","6775","365","2202","365.1","4580","349.2","6563","364.3","8847","364.35","10993","365","1393","365.1","2801","349.2","4348","364.3","5516","364.35","7087"
"377.1","1396","377.2","2793","360.8","4291","376.4","5576","376.43","6900","377.1","1335","377.2","2729","360.8","4084","376.4","5345","376.43","6817","377.1","1302","377.2","2640","360.8","4101","376.4","5275","376.43","6607","377.1","2304","377.2","4497","360.8","6305","376.4","8862","376.43","11192","377.1","1407","377.2","2882","360.8","4225","376.4","5673","376.43","7022"
"389.2","1349","389.3","2631","372.4","4101","388.5","5470","388.52","6702","389.2","1336","389.3","2688","372.4","3934","388.5","5316","388.52","6611","389.2","1244","389.3","2575","372.4","3839","388.5","5284","388.52","6503","389.2","2157","389.3","4513","372.4","6430","388.5","8745","388.52","11070","389.2","1294","389.3","2709","372.4","4131","388.5","5500","388.52","6800"
"401.3","1300","401.4","2623","384.1","4107","400.6","5368","400.6","6628","401.3","1323","401.4","2582","384.1","3966","400.6","5304","400.6","6437","401.3","1283","401.4","2537","384.1","3815","400.6","4983","400.6","6338","401.3","2161","401.4","4421","384.1","6326","400.6","8747","400.6","11016","401.3","1356","401.4","2754","384.1","4136","400.6","5340","400.6","6588"
"413.4","1315","413.5","2558","395.7","3916","412.6","5318","412.69","6389","413.4","1258","413.5","2401","395.7","3802","412.6","5132","412.69","6411","413.4","1220","413.5","2483","395.7","3798","412.6","5078","412.69","6129","413.4","2125","413.5","4397","395.7","6407","412.6","8720","412.69","11014","413.4","1330","413.5","2595","395.7","3890","412.6","5211","412.69","6558"
"425.5","1267","425.6","2476","407.3","3837","424.7","5001","424.78","6263","425.5","1253","425.6","2474","407.3","3812","424.7","4998","424.78","5998","425.5","1212","425.6","2416","407.3","3828","424.7","4701","424.78","6022","425.5","2165","425.6","4341","407.3","6348","424.7","8464","424.78","10671","425.5","1297","425.6","2516","407.3","3975","424.7","4973","424.78","6305"
"437.6","1248","437.7","2470","418.9","3697","436.8","4920","436.86","6166","437.6","1152","437.7","2337","418.9","3603","436.8","4584","436.86","5791","437.6","1144","437.7","2275","418.9","3604","436.8","4727","436.86","5724","437.6","2023","437.7","3969","418.9","6133","436.8","7987","436.86","10075","437.6","1195","437.7","2450","418.9","3688","436.8","4862","436.86","6051"
"449.7","1096","449.8","2288","430.5","3604","448.9","4653","448.95","5768","449.7","1141","449.8","2255","430.5","3543","448.9","4471","448.95","5592","449.7","1140","449.8","2122","430.5","3460","448.9","4448","448.95","5514","449.7","1843","449.8","3659","430.5","5871","448.9","7439","448.95","9184","449.7","1144","449.8","2287","430.5","3678","448.9","4721","448.95","5892"
"461.8","1049","461.9","2163","442.1","3455","461","4492","461.03","5477","461.8","1116","461.9","2155","442.1","3388","461","4295","461.03","5446","461.8","1086","461.9","2137","442.1","3271","461","4274","461.03","5281","461.8","1693","461.9","3478","442.1","5651","461","6900","461.03","8575","461.8","1066","461.9","2240","442.1","3539","461","4560","461.03","5492"
"474","1034","474","2028","453.8","3280","473.1","4196","473.12","5037","474","1119","474","2061","453.8","3178","473.1","4155","473.12","5178","474","1022","474","1944","453.8","3262","473.1","3902","473.12","4972","474","1561","474","3022","453.8","5117","473.1","5982","473.12","7579","474","1025","474","2228","453.8","3399","473.1","4301","473.12","5194"
"486.1","987","486.1","1922","465.4","3037","485.2","3979","485.21","5027","486.1","963","486.1","1947","465.4","3090","485.2","4054","485.21","4935","486.1","936","486.1","1924","465.4","3076","485.2","3714","485.21","4504","486.1","1305","486.1","2620","465.4","4715","485.2","5307","485.21","6855","486.1","982","486.1","1969","465.4","3176","485.2","3764","485.21","4839"
"498.2","904","498.2","1801","477","3022","497.3","3848","497.29","4676","498.2","976","498.2","1900","477","2903","497.3","3870","497.29","4834","498.2","893","498.2","1764","477","2929","497.3","3528","497.29","4324","498.2","1242","498.2","2471","477","4146","497.3","4808","497.29","6261","498.2","911","498.2","1857","477","2890","497.3","3793","497.29","4651"
