"E_Co","N_Co","E_Co","N_Co","E_Co","N_Co","E_Co","N_Co","E_Co","N_Co","E_Na","N_Na","E_Na","N_Na","E_Na","N_Na","E_Na","N_Na","E_Na","N_Na","E_Am","N_Am","E_Am","N_Am","E_Am","N_Am","E_Am","N_Am","E_Am","N_Am","E_Mix","N_Mix","E_Mix","N_Mix","E_Mix","N_Mix","E_Mix","N_Mix","E_Mix","N_Mix","E_Sr","N_Sr","E_Sr","N_Sr","E_Sr","N_Sr","E_Sr","N_Sr","E_Sr","N_Sr"
"1854.5","0","1854","1","1777.9","0","1851.2","0","1850.91","3","1854.5","0","1854","0","1777.9","2","1851.2","1","1850.91","1","1854.5","0","1854","1","1777.9","0","1851.2","1","1850.91","4","1854.5","0","1854","0","1777.9","1","1851.2","1","1850.91","3","1854.5","0","1854","0","1777.9","0","1851.2","1","1850.91","0"
"1866.6","1","1866.1","1","1789.5","1","1863.2","3","1863","4","1866.6","0","1866.1","1","1789.5","2","1863.2","1","1863","1","1866.6","0","1866.1","1","1789.5","1","1863.2","1","1863","1","1866.6","0","1866.1","0","1789.5","1","1863.2","1","1863","2","1866.6","1","1866.1","1","1789.5","0","1863.2","0","1863","0"
"1878.7","0","1878.2","1","1801.1","3","1875.3","1","1875.09","3","1878.7","1","1878.2","0","1801.1","0","1875.3","4","1875.09","2","1878.7","0","1878.2","0","1801.1","1","1875.3","2","1875.09","2","1878.7","0","1878.2","1","1801.1","1","1875.3","1","1875.09","0","1878.7","0","1878.2","0","1801.1","1","1875.3","2","1875.09","0"
"1890.8","1","1890.4","1","1812.7","0","1887.4","2","1887.17","1","1890.8","0","1890.4","0","1812.7","3","1887.4","0","1887.17","1","1890.8","0","1890.4","0","1812.7","0","1887.4","0","1887.17","0","1890.8","0","1890.4","1","1812.7","2","1887.4","2","1887.17","0","1890.8","1","1890.4","1","1812.7","1","1887.4","2","1887.17","1"
"1903","0","1902.5","1","1824.3","1","1899.5","2","1899.26","1","1903","0","1902.5","0","1824.3","4","1899.5","1","1899.26","0","1903","0","1902.5","0","1824.3","1","1899.5","0","1899.26","0","1903","0","1902.5","2","1824.3","1","1899.5","0","1899.26","1","1903","0","1902.5","3","1824.3","2","1899.5","3","1899.26","2"
"1915.1","1","1914.6","3","1835.9","1","1911.6","1","1911.34","4","1915.1","0","1914.6","2","1835.9","4","1911.6","1","1911.34","1","1915.1","0","1914.6","0","1835.9","1","1911.6","0","1911.34","0","1915.1","0","1914.6","0","1835.9","0","1911.6","1","1911.34","1","1915.1","0","1914.6","1","1835.9","3","1911.6","3","1911.34","1"
"1927.2","0","1926.7","1","1847.5","2","1923.7","2","1923.43","2","1927.2","0","1926.7","0","1847.5","1","1923.7","0","1923.43","0","1927.2","0","1926.7","0","1847.5","1","1923.7","0","1923.43","2","1927.2","1","1926.7","1","1847.5","1","1923.7","1","1923.43","2","1927.2","0","1926.7","2","1847.5","2","1923.7","1","1923.43","0"
"1939.3","0","1938.8","3","1859.2","1","1935.8","1","1935.51","3","1939.3","1","1938.8","0","1859.2","0","1935.8","0","1935.51","1","1939.3","0","1938.8","0","1859.2","2","1935.8","2","1935.51","4","1939.3","0","1938.8","0","1859.2","0","1935.8","1","1935.51","2","1939.3","1","1938.8","1","1859.2","0","1935.8","0","1935.51","1"
"1951.4","0","1950.9","0","1870.8","1","1947.9","3","1947.6","3","1951.4","0","1950.9","1","1870.8","0","1947.9","1","1947.6","1","1951.4","1","1950.9","2","1870.8","0","1947.9","2","1947.6","2","1951.4","0","1950.9","1","1870.8","0","1947.9","3","1947.6","0","1951.4","0","1950.9","0","1870.8","0","1947.9","1","1947.6","1"
"1963.5","1","1963","1","1882.4","1","1959.9","1","1959.69","3","1963.5","0","1963","0","1882.4","2","1959.9","0","1959.69","2","1963.5","0","1963","0","1882.4","0","1959.9","0","1959.69","1","1963.5","0","1963","1","1882.4","3","1959.9","0","1959.69","2","1963.5","1","1963","0","1882.4","1","1959.9","0","1959.69","3"
"1975.6","0","1975.1","1","1894","0","1972","2","1971.77","1","1975.6","0","1975.1","0","1894","1","1972","0","1971.77","1","1975.6","0","1975.1","0","1894","2","1972","1","1971.77","1","1975.6","0","1975.1","0","1894","0","1972","1","1971.77","1","1975.6","2","1975.1","1","1894","0","1972","1","1971.77","2"
"1987.7","1","1987.2","0","1905.6","1","1984.1","3","1983.86","1","1987.7","1","1987.2","1","1905.6","0","1984.1","1","1983.86","3","1987.7","1","1987.2","0","1905.6","0","1984.1","1","1983.86","2","1987.7","0","1987.2","0","1905.6","1","1984.1","0","1983.86","3","1987.7","0","1987.2","0","1905.6","2","1984.1","3","1983.86","1"
"1999.8","0","1999.3","0","1917.2","2","1996.2","1","1995.94","5","1999.8","0","1999.3","0","1917.2","1","1996.2","1","1995.94","4","1999.8","0","1999.3","0","1917.2","0","1996.2","1","1995.94","1","1999.8","0","1999.3","1","1917.2","1","1996.2","3","1995.94","1","1999.8","0","1999.3","1","1917.2","1","1996.2","1","1995.94","2"
"2011.9","0","2011.4","1","1928.9","0","2008.3","1","2008.03","3","2011.9","1","2011.4","0","1928.9","0","2008.3","0","2008.03","5","2011.9","1","2011.4","0","1928.9","1","2008.3","2","2008.03","1","2011.9","0","2011.4","0","1928.9","1","2008.3","2","2008.03","2","2011.9","0","2011.4","0","1928.9","0","2008.3","2","2008.03","2"
"2024.1","0","2023.5","2","1940.5","2","2020.4","3","2020.12","3","2024.1","1","2023.5","1","1940.5","1","2020.4","2","2020.12","2","2024.1","0","2023.5","0","1940.5","0","2020.4","1","2020.12","1","2024.1","1","2023.5","0","1940.5","1","2020.4","0","2020.12","0","2024.1","1","2023.5","0","1940.5","0","2020.4","2","2020.12","2"
"2036.2","0","2035.6","0","1952.1","0","2032.5","1","2032.2","1","2036.2","0","2035.6","0","1952.1","1","2032.5","0","2032.2","3","2036.2","0","2035.6","2","1952.1","1","2032.5","1","2032.2","1","2036.2","0","2035.6","1","1952.1","1","2032.5","0","2032.2","1","2036.2","0","2035.6","1","1952.1","0","2032.5","3","2032.2","1"
"2048.3","1","2047.7","1","1963.7","1","2044.6","2","2044.29","3","2048.3","0","2047.7","1","1963.7","0","2044.6","1","2044.29","0","2048.3","1","2047.7","1","1963.7","0","2044.6","0","2044.29","1","2048.3","1","2047.7","0","1963.7","1","2044.6","4","2044.29","3","2048.3","0","2047.7","0","1963.7","0","2044.6","2","2044.29","0"
"2060.4","0","2059.8","1","1975.3","0","2056.7","3","2056.37","3","2060.4","0","2059.8","1","1975.3","2","2056.7","0","2056.37","2","2060.4","0","2059.8","0","1975.3","0","2056.7","1","2056.37","2","2060.4","0","2059.8","0","1975.3","1","2056.7","2","2056.37","5","2060.4","0","2059.8","0","1975.3","1","2056.7","1","2056.37","1"
"2072.5","0","2071.9","1","1986.9","2","2068.7","2","2068.46","0","2072.5","0","2071.9","1","1986.9","3","2068.7","0","2068.46","1","2072.5","0","2071.9","0","1986.9","0","2068.7","1","2068.46","1","2072.5","0","2071.9","0","1986.9","0","2068.7","1","2068.46","2","2072.5","0","2071.9","0","1986.9","1","2068.7","0","2068.46","3"
"2084.6","0","2084","2","1998.5","2","2080.8","1","2080.55","1","2084.6","0","2084","0","1998.5","1","2080.8","3","2080.55","0","2084.6","0","2084","0","1998.5","0","2080.8","3","2080.55","0","2084.6","0","2084","0","1998.5","0","2080.8","0","2080.55","0","2084.6","0","2084","0","1998.5","0","2080.8","0","2080.55","2"
"2096.7","0","2096.1","2","2010.2","1","2092.9","3","2092.63","0","2096.7","0","2096.1","1","2010.2","1","2092.9","1","2092.63","0","2096.7","1","2096.1","0","2010.2","1","2092.9","0","2092.63","2","2096.7","0","2096.1","0","2010.2","2","2092.9","0","2092.63","1","2096.7","1","2096.1","0","2010.2","2","2092.9","2","2092.63","2"
"2108.8","1","2108.2","0","2021.8","2","2105","1","2104.72","2","2108.8","0","2108.2","0","2021.8","1","2105","0","2104.72","2","2108.8","0","2108.2","2","2021.8","0","2105","0","2104.72","3","2108.8","0","2108.2","1","2021.8","2","2105","4","2104.72","1","2108.8","0","2108.2","0","2021.8","2","2105","0","2104.72","1"
"2120.9","1","2120.4","1","2033.4","0","2117.1","0","2116.8","1","2120.9","0","2120.4","1","2033.4","0","2117.1","2","2116.8","1","2120.9","0","2120.4","1","2033.4","1","2117.1","1","2116.8","1","2120.9","0","2120.4","1","2033.4","1","2117.1","1","2116.8","5","2120.9","1","2120.4","0","2033.4","0","2117.1","0","2116.8","2"
"2133.1","0","2132.5","0","2045","0","2129.2","2","2128.89","1","2133.1","1","2132.5","0","2045","1","2129.2","2","2128.89","0","2133.1","0","2132.5","2","2045","0","2129.2","0","2128.89","1","2133.1","0","2132.5","0","2045","0","2129.2","1","2128.89","1","2133.1","0","2132.5","0","2045","1","2129.2","1","2128.89","1"
"2145.2","0","2144.6","0","2056.6","0","2141.3","1","2140.98","0","2145.2","1","2144.6","1","2056.6","0","2141.3","2","2140.98","1","2145.2","1","2144.6","0","2056.6","2","2141.3","1","2140.98","2","2145.2","0","2144.6","0","2056.6","0","2141.3","1","2140.98","0","2145.2","0","2144.6","0","2056.6","1","2141.3","1","2140.98","0"
"2157.3","0","2156.7","1","2068.2","0","2153.4","0","2153.06","2","2157.3","0","2156.7","0","2068.2","3","2153.4","3","2153.06","0","2157.3","1","2156.7","1","2068.2","0","2153.4","1","2153.06","2","2157.3","0","2156.7","0","2068.2","2","2153.4","1","2153.06","2","2157.3","1","2156.7","1","2068.2","0","2153.4","0","2153.06","2"
"2169.4","0","2168.8","0","2079.8","2","2165.4","2","2165.15","0","2169.4","0","2168.8","0","2079.8","1","2165.4","1","2165.15","0","2169.4","0","2168.8","0","2079.8","1","2165.4","1","2165.15","2","2169.4","2","2168.8","1","2079.8","2","2165.4","0","2165.15","1","2169.4","0","2168.8","2","2079.8","0","2165.4","0","2165.15","2"
"2181.5","0","2180.9","0","2091.5","0","2177.5","3","2177.23","1","2181.5","0","2180.9","0","2091.5","0","2177.5","0","2177.23","3","2181.5","0","2180.9","0","2091.5","0","2177.5","2","2177.23","1","2181.5","0","2180.9","0","2091.5","0","2177.5","2","2177.23","0","2181.5","1","2180.9","1","2091.5","0","2177.5","1","2177.23","0"
"2193.6","2","2193","0","2103.1","1","2189.6","2","2189.32","3","2193.6","0","2193","0","2103.1","0","2189.6","1","2189.32","2","2193.6","0","2193","0","2103.1","0","2189.6","1","2189.32","0","2193.6","0","2193","0","2103.1","1","2189.6","0","2189.32","0","2193.6","0","2193","0","2103.1","2","2189.6","2","2189.32","2"
"2205.7","0","2205.1","1","2114.7","1","2201.7","1","2201.4","2","2205.7","0","2205.1","0","2114.7","1","2201.7","2","2201.4","2","2205.7","0","2205.1","0","2114.7","0","2201.7","1","2201.4","1","2205.7","0","2205.1","1","2114.7","0","2201.7","1","2201.4","1","2205.7","0","2205.1","1","2114.7","1","2201.7","3","2201.4","2"
"2217.8","0","2217.2","1","2126.3","1","2213.8","1","2213.49","3","2217.8","0","2217.2","1","2126.3","1","2213.8","0","2213.49","1","2217.8","1","2217.2","0","2126.3","2","2213.8","0","2213.49","0","2217.8","0","2217.2","0","2126.3","0","2213.8","0","2213.49","1","2217.8","0","2217.2","0","2126.3","1","2213.8","2","2213.49","5"
"2229.9","0","2229.3","0","2137.9","2","2225.9","1","2225.58","2","2229.9","1","2229.3","1","2137.9","0","2225.9","0","2225.58","0","2229.9","0","2229.3","0","2137.9","0","2225.9","1","2225.58","1","2229.9","0","2229.3","1","2137.9","0","2225.9","1","2225.58","0","2229.9","1","2229.3","1","2137.9","2","2225.9","2","2225.58","2"
"2242","0","2241.4","0","2149.5","2","2238","1","2237.66","1","2242","0","2241.4","0","2149.5","1","2238","1","2237.66","2","2242","0","2241.4","1","2149.5","0","2238","0","2237.66","0","2242","0","2241.4","0","2149.5","0","2238","1","2237.66","2","2242","1","2241.4","1","2149.5","2","2238","0","2237.66","0"
"2254.2","0","2253.5","0","2161.2","0","2250.1","1","2249.75","3","2254.2","1","2253.5","1","2161.2","0","2250.1","5","2249.75","1","2254.2","1","2253.5","0","2161.2","3","2250.1","1","2249.75","0","2254.2","0","2253.5","0","2161.2","1","2250.1","1","2249.75","2","2254.2","0","2253.5","0","2161.2","1","2250.1","0","2249.75","1"
"2266.3","0","2265.6","1","2172.8","2","2262.2","0","2261.83","1","2266.3","0","2265.6","0","2172.8","1","2262.2","0","2261.83","1","2266.3","0","2265.6","0","2172.8","0","2262.2","1","2261.83","3","2266.3","0","2265.6","2","2172.8","0","2262.2","0","2261.83","1","2266.3","0","2265.6","0","2172.8","0","2262.2","1","2261.83","1"
"2278.4","1","2277.7","0","2184.4","0","2274.2","2","2273.92","3","2278.4","0","2277.7","3","2184.4","0","2274.2","1","2273.92","0","2278.4","0","2277.7","0","2184.4","2","2274.2","0","2273.92","2","2278.4","1","2277.7","0","2184.4","1","2274.2","1","2273.92","0","2278.4","0","2277.7","0","2184.4","1","2274.2","1","2273.92","0"
"2290.5","2","2289.8","0","2196","0","2286.3","1","2286.01","1","2290.5","0","2289.8","0","2196","0","2286.3","1","2286.01","1","2290.5","0","2289.8","0","2196","1","2286.3","0","2286.01","1","2290.5","0","2289.8","1","2196","1","2286.3","0","2286.01","0","2290.5","0","2289.8","0","2196","2","2286.3","2","2286.01","1"
"2302.6","1","2301.9","0","2207.6","2","2298.4","0","2298.09","3","2302.6","0","2301.9","0","2207.6","1","2298.4","2","2298.09","1","2302.6","1","2301.9","0","2207.6","0","2298.4","1","2298.09","3","2302.6","0","2301.9","0","2207.6","2","2298.4","0","2298.09","0","2302.6","0","2301.9","0","2207.6","1","2298.4","1","2298.09","2"
"2314.7","0","2314","0","2219.2","1","2310.5","2","2310.18","1","2314.7","0","2314","0","2219.2","1","2310.5","0","2310.18","0","2314.7","0","2314","1","2219.2","2","2310.5","0","2310.18","2","2314.7","0","2314","0","2219.2","2","2310.5","1","2310.18","0","2314.7","0","2314","2","2219.2","1","2310.5","0","2310.18","1"
"2326.8","0","2326.1","2","2230.8","2","2322.6","1","2322.26","2","2326.8","0","2326.1","0","2230.8","1","2322.6","2","2322.26","0","2326.8","0","2326.1","0","2230.8","0","2322.6","0","2322.26","2","2326.8","0","2326.1","1","2230.8","2","2322.6","0","2322.26","0","2326.8","1","2326.1","0","2230.8","0","2322.6","1","2322.26","1"
"2338.9","0","2338.3","2","2242.5","1","2334.7","1","2334.35","1","2338.9","0","2338.3","0","2242.5","0","2334.7","0","2334.35","1","2338.9","0","2338.3","0","2242.5","1","2334.7","1","2334.35","0","2338.9","0","2338.3","0","2242.5","1","2334.7","0","2334.35","0","2338.9","0","2338.3","1","2242.5","0","2334.7","0","2334.35","1"
"2351","0","2350.4","0","2254.1","2","2346.8","1","2346.44","1","2351","0","2350.4","0","2254.1","0","2346.8","0","2346.44","0","2351","0","2350.4","0","2254.1","1","2346.8","0","2346.44","1","2351","0","2350.4","1","2254.1","1","2346.8","0","2346.44","0","2351","0","2350.4","0","2254.1","1","2346.8","2","2346.44","3"
"2363.1","0","2362.5","0","2265.7","0","2358.9","0","2358.52","0","2363.1","0","2362.5","1","2265.7","1","2358.9","0","2358.52","1","2363.1","0","2362.5","0","2265.7","0","2358.9","1","2358.52","0","2363.1","0","2362.5","1","2265.7","1","2358.9","1","2358.52","2","2363.1","0","2362.5","0","2265.7","0","2358.9","0","2358.52","0"
"2375.3","1","2374.6","0","2277.3","0","2371","2","2370.61","1","2375.3","0","2374.6","0","2277.3","0","2371","0","2370.61","1","2375.3","1","2374.6","0","2277.3","1","2371","0","2370.61","1","2375.3","0","2374.6","1","2277.3","1","2371","0","2370.61","0","2375.3","0","2374.6","0","2277.3","0","2371","0","2370.61","2"
"2387.4","1","2386.7","0","2288.9","0","2383","0","2382.69","1","2387.4","0","2386.7","0","2288.9","1","2383","0","2382.69","2","2387.4","1","2386.7","0","2288.9","1","2383","1","2382.69","0","2387.4","0","2386.7","0","2288.9","3","2383","0","2382.69","1","2387.4","0","2386.7","1","2288.9","3","2383","0","2382.69","0"
"2399.5","0","2398.8","0","2300.5","0","2395.1","1","2394.78","0","2399.5","0","2398.8","0","2300.5","0","2395.1","1","2394.78","0","2399.5","0","2398.8","0","2300.5","0","2395.1","3","2394.78","0","2399.5","0","2398.8","0","2300.5","0","2395.1","0","2394.78","4","2399.5","0","2398.8","0","2300.5","1","2395.1","0","2394.78","0"
"2411.6","0","2410.9","0","2312.1","3","2407.2","0","2406.87","0","2411.6","0","2410.9","1","2312.1","1","2407.2","1","2406.87","0","2411.6","0","2410.9","0","2312.1","0","2407.2","3","2406.87","2","2411.6","0","2410.9","0","2312.1","1","2407.2","0","2406.87","1","2411.6","1","2410.9","0","2312.1","2","2407.2","1","2406.87","0"
"2423.7","0","2423","0","2323.8","1","2419.3","1","2418.95","2","2423.7","0","2423","0","2323.8","3","2419.3","3","2418.95","0","2423.7","0","2423","1","2323.8","1","2419.3","0","2418.95","1","2423.7","0","2423","0","2323.8","2","2419.3","0","2418.95","0","2423.7","0","2423","0","2323.8","0","2419.3","0","2418.95","1"
"2435.8","1","2435.1","0","2335.4","2","2431.4","0","2431.04","1","2435.8","0","2435.1","1","2335.4","1","2431.4","1","2431.04","2","2435.8","0","2435.1","1","2335.4","0","2431.4","1","2431.04","1","2435.8","0","2435.1","0","2335.4","0","2431.4","2","2431.04","1","2435.8","0","2435.1","0","2335.4","1","2431.4","0","2431.04","0"
"2447.9","0","2447.2","0","2347","1","2443.5","0","2443.12","1","2447.9","0","2447.2","0","2347","2","2443.5","0","2443.12","5","2447.9","0","2447.2","1","2347","1","2443.5","1","2443.12","3","2447.9","0","2447.2","0","2347","1","2443.5","1","2443.12","1","2447.9","0","2447.2","0","2347","0","2443.5","0","2443.12","2"
"2460","0","2459.3","3","2358.6","0","2455.6","2","2455.21","0","2460","0","2459.3","0","2358.6","1","2455.6","1","2455.21","1","2460","0","2459.3","0","2358.6","2","2455.6","2","2455.21","2","2460","0","2459.3","0","2358.6","0","2455.6","0","2455.21","2","2460","0","2459.3","0","2358.6","0","2455.6","2","2455.21","0"
"2472.1","0","2471.4","0","2370.2","0","2467.7","0","2467.29","2","2472.1","0","2471.4","0","2370.2","1","2467.7","0","2467.29","1","2472.1","1","2471.4","0","2370.2","0","2467.7","0","2467.29","1","2472.1","0","2471.4","0","2370.2","1","2467.7","0","2467.29","1","2472.1","0","2471.4","0","2370.2","0","2467.7","0","2467.29","0"
"2484.2","0","2483.5","0","2381.8","1","2479.7","1","2479.38","0","2484.2","0","2483.5","0","2381.8","0","2479.7","2","2479.38","0","2484.2","0","2483.5","0","2381.8","0","2479.7","3","2479.38","2","2484.2","0","2483.5","0","2381.8","1","2479.7","0","2479.38","0","2484.2","0","2483.5","2","2381.8","2","2479.7","0","2479.38","0"
"2496.4","0","2495.6","1","2393.5","1","2491.8","0","2491.47","1","2496.4","0","2495.6","1","2393.5","0","2491.8","2","2491.47","1","2496.4","1","2495.6","1","2393.5","1","2491.8","0","2491.47","1","2496.4","0","2495.6","0","2393.5","0","2491.8","1","2491.47","2","2496.4","0","2495.6","0","2393.5","1","2491.8","2","2491.47","0"
"2508.5","0","2507.7","2","2405.1","1","2503.9","2","2503.55","2","2508.5","0","2507.7","0","2405.1","1","2503.9","1","2503.55","2","2508.5","0","2507.7","0","2405.1","0","2503.9","1","2503.55","0","2508.5","1","2507.7","0","2405.1","2","2503.9","0","2503.55","0","2508.5","0","2507.7","2","2405.1","0","2503.9","0","2503.55","1"
"2520.6","0","2519.8","0","2416.7","1","2516","0","2515.64","0","2520.6","0","2519.8","1","2416.7","1","2516","2","2515.64","1","2520.6","0","2519.8","1","2416.7","0","2516","1","2515.64","0","2520.6","0","2519.8","0","2416.7","0","2516","0","2515.64","0","2520.6","0","2519.8","0","2416.7","1","2516","2","2515.64","1"
"2532.7","0","2531.9","1","2428.3","0","2528.1","0","2527.72","0","2532.7","0","2531.9","0","2428.3","0","2528.1","0","2527.72","1","2532.7","0","2531.9","0","2428.3","0","2528.1","2","2527.72","1","2532.7","0","2531.9","0","2428.3","0","2528.1","3","2527.72","2","2532.7","0","2531.9","2","2428.3","1","2528.1","0","2527.72","1"
"2544.8","0","2544","1","2439.9","0","2540.2","0","2539.81","1","2544.8","0","2544","0","2439.9","0","2540.2","0","2539.81","2","2544.8","0","2544","0","2439.9","0","2540.2","2","2539.81","1","2544.8","0","2544","0","2439.9","1","2540.2","2","2539.81","3","2544.8","1","2544","0","2439.9","0","2540.2","0","2539.81","0"
"2556.9","0","2556.1","0","2451.5","0","2552.3","0","2551.9","3","2556.9","0","2556.1","0","2451.5","1","2552.3","0","2551.9","0","2556.9","0","2556.1","1","2451.5","1","2552.3","2","2551.9","1","2556.9","0","2556.1","0","2451.5","1","2552.3","2","2551.9","1","2556.9","0","2556.1","0","2451.5","0","2552.3","1","2551.9","1"
"2569","0","2568.3","0","2463.1","0","2564.4","0","2563.98","2","2569","0","2568.3","1","2463.1","1","2564.4","0","2563.98","1","2569","0","2568.3","1","2463.1","0","2564.4","2","2563.98","1","2569","0","2568.3","0","2463.1","2","2564.4","1","2563.98","1","2569","0","2568.3","0","2463.1","2","2564.4","0","2563.98","1"
"2581.1","0","2580.4","0","2474.8","0","2576.5","0","2576.07","3","2581.1","0","2580.4","1","2474.8","0","2576.5","1","2576.07","1","2581.1","0","2580.4","0","2474.8","0","2576.5","0","2576.07","0","2581.1","1","2580.4","0","2474.8","1","2576.5","1","2576.07","1","2581.1","0","2580.4","2","2474.8","0","2576.5","1","2576.07","0"
"2593.2","1","2592.5","0","2486.4","0","2588.5","1","2588.15","2","2593.2","0","2592.5","0","2486.4","0","2588.5","1","2588.15","1","2593.2","1","2592.5","0","2486.4","1","2588.5","1","2588.15","0","2593.2","1","2592.5","0","2486.4","1","2588.5","1","2588.15","0","2593.2","0","2592.5","0","2486.4","1","2588.5","0","2588.15","1"
"2605.3","0","2604.6","0","2498","1","2600.6","1","2600.24","1","2605.3","0","2604.6","0","2498","0","2600.6","0","2600.24","0","2605.3","0","2604.6","1","2498","0","2600.6","0","2600.24","0","2605.3","0","2604.6","0","2498","1","2600.6","0","2600.24","1","2605.3","0","2604.6","0","2498","0","2600.6","1","2600.24","0"
"2617.5","1","2616.7","0","2509.6","0","2612.7","0","2612.33","1","2617.5","0","2616.7","0","2509.6","1","2612.7","0","2612.33","0","2617.5","0","2616.7","0","2509.6","0","2612.7","0","2612.33","0","2617.5","0","2616.7","0","2509.6","1","2612.7","0","2612.33","1","2617.5","0","2616.7","0","2509.6","0","2612.7","2","2612.33","0"
"2629.6","0","2628.8","2","2521.2","1","2624.8","1","2624.41","1","2629.6","1","2628.8","1","2521.2","0","2624.8","0","2624.41","0","2629.6","0","2628.8","0","2521.2","0","2624.8","0","2624.41","0","2629.6","0","2628.8","0","2521.2","0","2624.8","2","2624.41","0","2629.6","0","2628.8","0","2521.2","0","2624.8","0","2624.41","0"
"2641.7","0","2640.9","0","2532.8","0","2636.9","0","2636.5","0","2641.7","0","2640.9","0","2532.8","1","2636.9","0","2636.5","0","2641.7","0","2640.9","0","2532.8","0","2636.9","1","2636.5","0","2641.7","0","2640.9","0","2532.8","3","2636.9","0","2636.5","1","2641.7","0","2640.9","0","2532.8","0","2636.9","1","2636.5","0"
"2653.8","0","2653","1","2544.4","0","2649","0","2648.58","0","2653.8","0","2653","2","2544.4","0","2649","1","2648.58","0","2653.8","0","2653","0","2544.4","0","2649","0","2648.58","1","2653.8","0","2653","0","2544.4","0","2649","0","2648.58","1","2653.8","0","2653","0","2544.4","1","2649","1","2648.58","2"
"2665.9","0","2665.1","0","2556.1","0","2661.1","1","2660.67","0","2665.9","0","2665.1","0","2556.1","1","2661.1","0","2660.67","0","2665.9","0","2665.1","0","2556.1","0","2661.1","0","2660.67","1","2665.9","0","2665.1","0","2556.1","1","2661.1","0","2660.67","1","2665.9","0","2665.1","0","2556.1","1","2661.1","0","2660.67","0"
"2678","0","2677.2","0","2567.7","1","2673.2","1","2672.76","1","2678","0","2677.2","0","2567.7","0","2673.2","0","2672.76","0","2678","1","2677.2","0","2567.7","0","2673.2","1","2672.76","0","2678","0","2677.2","0","2567.7","0","2673.2","0","2672.76","1","2678","0","2677.2","0","2567.7","0","2673.2","0","2672.76","1"
"2690.1","0","2689.3","0","2579.3","0","2685.2","1","2684.84","0","2690.1","0","2689.3","0","2579.3","1","2685.2","0","2684.84","0","2690.1","0","2689.3","0","2579.3","0","2685.2","0","2684.84","0","2690.1","0","2689.3","0","2579.3","0","2685.2","1","2684.84","1","2690.1","0","2689.3","1","2579.3","0","2685.2","1","2684.84","0"
"2702.2","0","2701.4","1","2590.9","2","2697.3","0","2696.93","0","2702.2","0","2701.4","2","2590.9","0","2697.3","0","2696.93","0","2702.2","0","2701.4","1","2590.9","0","2697.3","2","2696.93","0","2702.2","0","2701.4","0","2590.9","2","2697.3","0","2696.93","0","2702.2","0","2701.4","0","2590.9","0","2697.3","1","2696.93","1"
"2714.3","0","2713.5","0","2602.5","2","2709.4","1","2709.01","0","2714.3","0","2713.5","1","2602.5","0","2709.4","1","2709.01","0","2714.3","0","2713.5","0","2602.5","0","2709.4","0","2709.01","3","2714.3","1","2713.5","0","2602.5","0","2709.4","0","2709.01","0","2714.3","0","2713.5","0","2602.5","0","2709.4","2","2709.01","0"
"2726.5","0","2725.6","1","2614.1","0","2721.5","0","2721.1","0","2726.5","0","2725.6","0","2614.1","0","2721.5","0","2721.1","0","2726.5","0","2725.6","0","2614.1","0","2721.5","0","2721.1","1","2726.5","0","2725.6","0","2614.1","0","2721.5","0","2721.1","1","2726.5","0","2725.6","0","2614.1","0","2721.5","0","2721.1","0"
"2738.6","0","2737.7","0","2625.8","0","2733.6","0","2733.18","0","2738.6","0","2737.7","0","2625.8","0","2733.6","0","2733.18","0","2738.6","0","2737.7","0","2625.8","0","2733.6","0","2733.18","0","2738.6","0","2737.7","0","2625.8","1","2733.6","0","2733.18","0","2738.6","1","2737.7","0","2625.8","1","2733.6","0","2733.18","1"
"2750.7","0","2749.8","0","2637.4","2","2745.7","0","2745.27","0","2750.7","0","2749.8","0","2637.4","0","2745.7","0","2745.27","0","2750.7","0","2749.8","0","2637.4","0","2745.7","0","2745.27","0","2750.7","0","2749.8","0","2637.4","0","2745.7","0","2745.27","0","2750.7","0","2749.8","0","2637.4","0","2745.7","0","2745.27","0"
"2762.8","0","2761.9","0","2649","0","2757.8","0","2757.36","0","2762.8","0","2761.9","1","2649","0","2757.8","0","2757.36","0","2762.8","0","2761.9","0","2649","0","2757.8","0","2757.36","0","2762.8","0","2761.9","0","2649","0","2757.8","0","2757.36","0","2762.8","0","2761.9","0","2649","0","2757.8","0","2757.36","0"
"2774.9","1","2774","0","2660.6","0","2769.9","0","2769.44","0","2774.9","0","2774","0","2660.6","1","2769.9","0","2769.44","0","2774.9","0","2774","0","2660.6","0","2769.9","0","2769.44","0","2774.9","0","2774","0","2660.6","0","2769.9","0","2769.44","0","2774.9","0","2774","0","2660.6","1","2769.9","0","2769.44","0"
"2787","0","2786.1","0","2672.2","1","2782","0","2781.53","0","2787","1","2786.1","0","2672.2","0","2782","0","2781.53","0","2787","1","2786.1","0","2672.2","0","2782","0","2781.53","0","2787","0","2786.1","0","2672.2","0","2782","0","2781.53","0","2787","0","2786.1","0","2672.2","0","2782","0","2781.53","0"
"2799.1","0","2798.3","0","2683.8","0","2794","1","2793.61","0","2799.1","0","2798.3","0","2683.8","0","2794","0","2793.61","0","2799.1","0","2798.3","0","2683.8","2","2794","1","2793.61","1","2799.1","0","2798.3","0","2683.8","1","2794","0","2793.61","0","2799.1","0","2798.3","0","2683.8","0","2794","0","2793.61","0"
